Phase 505: Full Compound Decomposition Table
==========================================================================================

      MIDDLE  HEAD         MODS  TERM     CATEGORY  FREQ  GLOSS
          os     o            s     -    OPERATION    16  arrange + sequence
          of     o            f     -      MARKING    15  arrange + flag
          oi     o            i     -    OPERATION    13  arrange + iterate
          oe     o            e     -    OPERATION    11  arrange + cool
         oee     o           ee     -      THERMAL    10  arrange + cool(exe)
         opc     o          p+c     -      MARKING     9  arrange + pause + adjust
        odai     o        d+a+i     -      MARKING     8  arrange + mark + yield + iterate
        olke     o        l+k+e     -      THERMAL     8  arrange + state + heat + cool
      opched     o    p+c+h+e+d     -      MARKING     7  arrange + pause + adjust + watch + cool + mark
       opche     o      p+c+h+e     -      MARKING     6  arrange + pause + adjust + watch + cool
         opa     o          p+a     -      MARKING     6  arrange + pause + yield
        opai     o        p+a+i     -      MARKING     6  arrange + pause + yield + iterate
         ode     o          d+e     -      MARKING     5  arrange + mark + cool
         oke     o          k+e     -      THERMAL     5  arrange + heat + cool

         tch     t            c     h    OPERATION    65  transfer + adjust + watch
         tsh     t            s     h         FLOW     9  transfer + sequence + watch
          te     t            e     -         FLOW    87  transfer + cool
         teo     t          e+o     -         FLOW    18  transfer + cool + arrange
         ted     t          e+d     -         FLOW    17  transfer + cool + mark
          tc     t            c     -         FLOW    16  transfer + adjust
          to     t            o     -         FLOW    11  transfer + arrange
        teed     t         ee+d     -      THERMAL     9  transfer + cool(exe) + mark
          ta     t            a     -         FLOW     9  transfer + yield
         tai     t          a+i     -         FLOW     8  transfer + yield + iterate
        teeo     t         ee+o     -      THERMAL     8  transfer + cool(exe) + arrange
         tee     t           ee     -      THERMAL     7  transfer + cool(exe)
        tchd     t        c+h+d     -      MARKING     7  transfer + adjust + watch + mark
       tched     t      c+h+e+d     -      MARKING     7  transfer + adjust + watch + cool + mark
        tche     t        c+h+e     -         FLOW     5  transfer + adjust + watch + cool

          dy     -          d+y     -  CONTAINMENT   675  mark + end
         iin     -         ii+n     -      STAGING   560  iterate(ixi) + halt
          in     -          i+n     -      MARKING   264  iterate + halt
          ck     -          c+k     -    OPERATION   197  adjust + heat
         ckh     -        c+k+h     -  CONTAINMENT   127  adjust + heat + watch
          ct     -          c+t     -   MONITORING    95  adjust + transfer
         pch     -        p+c+h     -      MARKING    79  pause + adjust + watch
         lch     -        l+c+h     -    OPERATION    74  state + adjust + watch
          lk     -          l+k     -      STAGING    58  state + heat
         cth     -        c+t+h     -      MARKING    49  adjust + transfer + watch
          ly     -          l+y     -   TRANSITION    49  state + end
         cph     -        c+p+h     -   MONITORING    36  adjust + pause + watch
          ry     -          r+y     -   TRANSITION    33  respond + end
          lo     -          l+o     -   TRANSITION    33  state + arrange
         lsh     -        l+s+h     -   MONITORING    24  state + sequence + watch
         fch     -        f+c+h     -      MARKING    23  flag + adjust + watch
         dai     -        d+a+i     -      MARKING    23  mark + yield + iterate
         lke     -        l+k+e     -      THERMAL    20  state + heat + cool
          ir     -          i+r     -         FLOW    19  iterate + respond
          qo     -          q+o     -      UNKNOWN    18  ? + arrange
          da     -          d+a     -   TRANSITION    13  mark + yield
          ld     -          l+d     -      MARKING    13  state + mark
          ro     -          r+o     -         FLOW    13  respond + arrange
         rai     -        r+a+i     -         FLOW    12  respond + yield + iterate
          yt     -          y+t     -         FLOW    12  end + transfer
          cs     -          c+s     -      MARKING    12  adjust + sequence
          yk     -          y+k     -      THERMAL    11  end + heat
          cp     -          c+p     -      MARKING    10  adjust + pause
          do     -          d+o     -      MARKING    10  mark + arrange
         qek     -        q+e+k     -      UNKNOWN    10  ? + cool + heat
          pc     -          p+c     -      MARKING    10  pause + adjust
         cfh     -        c+f+h     -      MARKING     9  adjust + flag + watch
          hy     -          h+y     -   MONITORING     8  watch + end
         dal     -        d+a+l     -      MARKING     8  mark + yield + state
          im     -          i+m     -      STAGING     8  iterate + final
         lod     -        l+o+d     -      MARKING     7  state + arrange + mark
         rod     -        r+o+d     -         FLOW     7  respond + arrange + mark
         dyt     -        d+y+t     -         FLOW     7  mark + end + transfer
          ls     -          l+s     -      STAGING     7  state + sequence
         rch     -        r+c+h     -         FLOW     7  respond + adjust + watch
          lt     -          l+t     -         FLOW     7  state + transfer
         lai     -        l+a+i     -      STAGING     6  state + yield + iterate
          qe     -          q+e     -      UNKNOWN     6  ? + cool
          lc     -          l+c     -      MARKING     6  state + adjust
         qet     -        q+e+t     -      UNKNOWN     6  ? + cool + transfer
          sh     -          s+h     -   MONITORING     5  sequence + watch
        lchd     -      l+c+h+d     -      MARKING     5  state + adjust + watch + mark
          yp     -          y+p     -      MARKING     5  end + pause
         iro     -        i+r+o     -         FLOW     5  iterate + respond + arrange
          de     -          d+e     -      MARKING     5  mark + cool
        lche     -      l+c+h+e     -      MARKING     5  state + adjust + watch + cool
         psh     -        p+s+h     -      MARKING     5  pause + sequence + watch
          rc     -          r+c     -         FLOW     5  respond + adjust
         qee     -         q+ee     -      UNKNOWN     5  ? + cool(exe)
        pche     -      p+c+h+e     -      MARKING     5  pause + adjust + watch + cool

Total compounds (freq >= 5): 190
