folio,head_a,head_e,head_o,head_k,head_t,head_headless,mod_p,mod_f,mod_i,mod_c,mod_d,mod_s,term_y,term_n,term_l,term_r,term_m,term_h,pfx_qo,pfx_ch,pfx_sh,pfx_ok,pfx_ot,pfx_da,pfx_ol,pfx_ct,pfx_bare,e_depth_mean,i_depth_mean,mean_atom_length,token_count,section
f103r,-0.0602957967055702,0.07732855945417844,-0.027652671004841214,0.04689457508386265,-0.0011970642018405628,-0.030833559445022668,0.0006087666917407933,-0.0006447287912287737,-0.1667182118482654,-0.011099346140573993,-0.03730734424839299,-0.0037237398705709038,0.16203494533410462,-0.05568477369701694,0.0211749828789579,-0.0690649507285526,-0.014512089994425393,-0.00046491010621309975,0.046268603781969314,-0.05483173200331121,0.10858768143379027,0.02250953953307834,0.008826284585813873,0.000755904384650348,-0.01361361765529808,-0.0015808107275042623,-0.11692185333318858,0.11821436895383519,-0.2234036609926806,-0.2021405920611894,58.04347826086956,Stars
f103v,-0.016439291402171402,0.058508533683841624,-0.02223407369622009,0.0008066316762049275,0.00120077177252563,-0.022364334517768397,-0.002335195625541544,-0.004476146415749846,-0.14029081678558886,-0.03200147859327861,-0.08425287667891124,-0.0006560458037216249,0.12126746715782527,-0.034240781513450225,-0.018449043266840756,-0.016781886618439865,-0.01233185123481485,-0.00046491010621309975,-0.005395801580308723,-0.04394760465347461,0.07576890151417323,-0.008999390485950748,0.018076299518956063,-0.0025464533451707086,0.028655707964000663,-0.0015808107275042623,-0.06003084820472088,0.017232194858996963,-0.15380659139561104,-0.43450455113584674,-14.956521739130437,Stars
f104r,0.0010068852867669564,-0.058056944141055944,0.041758970206516574,0.0015998708378121423,0.013734967499203887,0.006116002303783313,0.005017521218586958,0.002373168652743304,0.01091785596257805,0.044403724242042905,0.013996912299132303,-0.008893529405027419,-0.0712354057917024,-0.011780926533840552,0.013748330908139664,0.06141318919691846,0.0017583136165545028,0.0018181949166179504,0.037556065074154266,-0.007621318945000177,-0.020604571754683998,-0.005150146605587491,-0.00012243740022507832,-0.004046488939235655,0.018638521115499167,-0.0015808107275042623,-0.017068811817416762,-0.09172632280074411,0.12350433297413677,0.1996596493706062,-25.956521739130437,Stars
f104v,-0.043389039021821105,0.033995058810031786,0.010862278216326945,-0.01906771305882002,0.04617699258344947,-0.0311514499902886,-0.011462708487700054,0.002074071924861507,0.006381555589704102,0.05231981763998113,0.01910149645498166,0.0008271142511309879,-0.015523655278253001,-0.0156891237781627,-0.020418485306890943,0.0050035463184115725,-0.001721178317803735,-0.00046491010621309975,0.05905114991792609,0.09456009319035108,-0.01694562178359668,-0.034242288337556936,-0.03398018699644449,-0.005342574760056774,-0.01173973654636201,0.0006025953860328555,-0.05196343007029308,0.08938671582261337,0.0657701281811085,0.149680586141558,-5.956521739130437,Stars
f105r,-0.011605727325845638,0.002636626141555465,0.02746796687441737,-0.04060671931398348,-0.027126441855356148,0.04998864206683404,0.004647287971641385,0.0036319616923582623,0.05973928012646795,-0.02837179099922575,0.06602702460321724,0.025871372483162146,0.06402314042574797,-0.05533269748287176,-0.013266355010655831,-0.00874601109926812,-0.009003132761330229,-0.00046491010621309975,-0.04047676227374156,-0.06631562969410543,-0.0381659687681358,-0.02000884091633659,0.002913475224728651,0.017624497115312047,0.008111555794013302,-0.0015808107275042623,0.13789848424576973,0.06927577518765526,0.23283937133730825,0.12946342574972514,-93.95652173913044,Stars
f105v,0.0933145775944593,-0.09750197399704469,0.027814467220917696,-0.06784164654891071,-0.022829837558751852,0.06551185759004954,0.028902312226665637,0.0006520587124552819,0.2596006799878678,-0.007651070278505034,0.015507274083466693,0.01499126160305126,-0.1467183703157628,0.03974699759682332,-0.013543555287856113,0.05681185445859743,0.005411281653084184,-0.00046491010621309975,-0.09071931251629181,-0.06125672463520038,-0.04835307895524599,-0.007257628165123847,0.029663301974555398,0.03037570986652479,0.0037456514281089363,-0.0015808107275042623,0.1453828917301772,-0.18269927678739672,0.1419809543919348,0.13334422963052894,-73.95652173913044,Stars
f106r,-0.008890185180374766,-0.012655150195351517,0.02199194453378693,-0.0005476578772498353,0.004163280170707918,-0.007403667106947842,0.00849912080209654,0.0026497443205921968,0.029958192625665514,0.020694139539388867,0.0040510343611937505,0.0064645547390522334,-0.051018266777179466,-0.001753702811240515,-0.004657508634588553,0.02877726039074921,-0.004169082559109007,-0.00046491010621309975,-0.011061598891832336,0.03173919472651471,0.04145141583737233,-0.0024765818163815373,-0.01608248035079938,-0.00759858820278515,-0.0008953133078676775,-0.0015808107275042623,-0.03349523726671666,-0.0456629164731267,0.0842886466996271,0.12485406579594693,-42.95652173913044,Stars
f106v,0.014741109488697168,-0.05507721241860827,0.042353899577721996,-0.02369225473804898,0.003427943264730532,0.019951923834124724,0.004346318851073155,-2.180343134004694e-05,0.028974216621983517,0.0014060937897948933,-0.006301874451739742,0.023842840610532275,-0.023498679835493252,0.0013939623618281771,-0.007313185805816247,0.014398514272428747,0.0010311777184145478,-0.00046491010621309975,-0.02321317351794791,0.002822996682828288,0.05572435808432913,-0.01122656197815565,0.009167613550136455,-0.011455139313990309,-0.0025246929268679386,0.0006463607647006374,-0.01994176134503267,-0.2143936403303126,0.057261619672599906,-0.08706579835188233,-14.956521739130437,Stars
f107r,0.0843402186201003,-0.08695132246278661,-0.015365440303252112,-0.004884521706539968,-0.010555772825670724,0.03342904968756952,-0.0018879357766971201,0.001671394567856711,0.15498739709589643,-0.023088228748450387,-0.1359113892204425,-0.00965144541670494,-0.1065018928042033,0.058967258210526535,0.07395119040361088,-0.005367632720889748,-0.0012827074179540682,-0.00046491010621309975,-0.04315731167560244,-0.020945669570046954,-0.023290027252850024,0.008557840519197307,0.01060067061684207,-0.015284231285219635,0.0016649452490421005,0.00046836960036459024,0.08138541379827302,-0.1790738038996288,0.078228040639021,-0.098959259230337,24.043478260869563,Stars
f107v,0.07829626257614425,-0.10885728535235606,0.0007082401146906031,0.09589461718735302,-0.02795804268695698,-0.0341218420436501,-0.004797321472968061,-8.05420201454507e-05,0.14714646753365535,-0.0039880666155013705,-0.12185536327917065,-0.02310397649218683,-0.026205549802942263,0.08004003788986361,0.04176780002349921,-0.027070929424186457,-0.00814183190002937,0.001732892091589098,0.02539790360092431,-0.06601862939710515,-0.04725417785634489,0.025343104435608763,-0.0007396284283750082,-0.00955103006021513,0.010339058021515527,-0.0015808107275042623,0.06406421041149585,-0.18489707898519897,0.04849446325443685,-0.0805751842888851,-8.956521739130437,Stars
