folio_id,total_tokens,link_count,link_density,mean_link_run,max_link_run,kernel_k,kernel_h,kernel_e,kernel_contact_ratio,kernel_dominance,hazard_events,hazard_density,boundary_hazard_weight,cycle_count,cycle_order,convergence_speed,terminal_state,aggressiveness,conservatism,control_margin,near_miss,restart_capable,recovery_ops,cf1_density,cf2_density,cf3_density,boundary_attention,waiting_attention,waiting_profile,risk_profile,intervention_style,stability_role
f81r,848,258,0.3042,1.53,5,0,0,0,0.692,k,0,0.594,0,105,2,0.1653,STATE-C,0.7898,0.3102,0.406,9,False,22,0,0,0,0,0,MODERATE,BALANCED,BALANCED,TRANSITION_HEAVY
f81v,1046,372,0.3556,1.69,7,0,0,0,0.641,k,0,0.546,0,118,2,0.2242,STATE-C,0.6904,0.4096,0.454,9,False,37,0,0,0,0,0,MODERATE,BALANCED,BALANCED,MAINTENANCE_HEAVY
f82r,1179,407,0.3452,1.52,22,0,0,0,0.652,k,0,0.616,0,208,2,0.1969,STATE-C,0.7708,0.3292,0.384,17,False,13,0,0,0,0,0,MODERATE,BALANCED,BALANCED,TRANSITION_HEAVY
f82v,1281,399,0.3115,1.59,12,0,0,0,0.686,k,0,0.665,0,208,2,0.2364,initial,0.8535,0.2465,0.335,15,True,13,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,TRANSITION_HEAVY
f83r,1384,484,0.3497,1.52,5,0,0,0,0.647,k,0,0.621,0,194,2,0.1912,STATE-C,0.7713,0.3287,0.379,22,False,19,0,0,0,0,0,MODERATE,BALANCED,BALANCED,MAINTENANCE_HEAVY
f83v,1032,208,0.2016,1.22,8,0,0,0,0.796,k,0,0.771,0,126,2,0.2237,STATE-C,1.0694,0.0306,0.229,23,False,12,0,0,0,0,0,LOW,TIGHT_MARGIN,BALANCED,TRANSITION_HEAVY
f84r,1424,483,0.3392,1.69,13,0,0,0,0.658,k,0,0.609,0,154,2,0.2155,STATE-C,0.7698,0.3302,0.391,41,False,19,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,TRANSITION_HEAVY
f84v,1402,462,0.3295,1.97,15,0,0,0,0.668,k,0,0.592,0,189,2,0.1961,STATE-C,0.7625,0.3375,0.408,41,False,53,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,TRANSITION_HEAVY
f85r1,673,278,0.4131,1.78,9,0,0,0,0.58,k,0,0.541,0,68,2,0.2445,STATE-C,0.6279,0.4721,0.459,19,False,15,0,0,0,0,0,HIGH,BALANCED,BALANCED,MIXED
f85r2,301,114,0.3787,1.61,9,0,0,0,0.607,k,0,0.555,0,27,2,0.2597,STATE-C,0.6763,0.4237,0.445,6,False,13,0,0,0,0,0,MODERATE,BALANCED,BALANCED,MIXED
f85v2,354,190,0.5367,2.75,10,0,0,0,0.446,e,0,0.411,0,61,2,0.4149,STATE-C,0.3743,0.7257,0.589,4,False,7,0,0,0,0,0,EXTREME,LOW_MARGIN,CONSERVATIVE,MIXED
f86v3,781,368,0.4712,1.94,6,0,0,0,0.522,k,0,0.506,0,95,2,0.2242,STATE-C,0.5348,0.5652,0.494,15,False,8,0,0,0,0,0,HIGH,BALANCED,CONSERVATIVE,MIXED
f86v4,431,142,0.3295,1.41,5,0,0,0,0.662,k,0,0.593,0,30,2,0.4115,STATE-C,0.7635,0.3365,0.407,13,False,24,0,0,0,0,0,MODERATE,BALANCED,AGGRESSIVE,TRANSITION_HEAVY
f86v5,811,397,0.4895,2.01,8,0,0,0,0.504,k,0,0.472,0,109,2,0.2257,STATE-C,0.4825,0.6175,0.528,12,False,17,0,0,0,0,0,HIGH,BALANCED,CONSERVATIVE,MAINTENANCE_HEAVY
f86v6,976,410,0.4201,1.64,8,0,0,0,0.575,k,0,0.55,0,78,2,0.2123,STATE-C,0.6299,0.4701,0.45,25,False,15,0,0,0,0,0,HIGH,TIGHT_MARGIN,BALANCED,MAINTENANCE_HEAVY
f94r,174,66,0.3793,1.43,4,0,0,0,0.595,k,0,0.571,0,19,2,0.3067,STATE-C,0.6917,0.4083,0.429,4,False,4,0,0,0,0,0,MODERATE,BALANCED,BALANCED,MIXED
f94v,206,78,0.3786,1.53,4,0,0,0,0.6,k,0,0.544,0,10,2,0.2703,STATE-C,0.6654,0.4346,0.456,6,False,5,0,0,0,0,0,MODERATE,BALANCED,BALANCED,MIXED
f95r1,209,68,0.3254,1.55,3,0,0,0,0.658,k,0,0.608,0,19,2,0.2,other,0.7826,0.3174,0.392,4,False,4,0,0,0,0,0,MODERATE,BALANCED,BALANCED,TRANSITION_HEAVY
f95r2,250,68,0.272,1.42,5,0,0,0,0.717,k,0,0.667,0,21,2,0.1812,STATE-C,0.895,0.205,0.333,11,False,6,0,0,0,0,0,LOW,TIGHT_MARGIN,AGGRESSIVE,TRANSITION_HEAVY
f95v1,245,105,0.4286,1.59,5,0,0,0,0.551,k,0,0.517,0,21,2,0.2309,other,0.5884,0.5116,0.483,5,False,5,0,0,0,0,0,HIGH,BALANCED,BALANCED,MIXED
f95v2,200,72,0.36,1.64,4,0,0,0,0.619,k,0,0.582,0,8,2,0.1634,STATE-C,0.722,0.378,0.418,5,False,3,0,0,0,0,0,MODERATE,BALANCED,BALANCED,MIXED
