rank	token	frequency	corpus_pct	folio_count	prefix	middle	suffix	atom_gloss	e_depth	head_atom	terminal_atom	is_headless	par_initial_rate	line_initial_rate	line_final_rate	top_section	confidence	operational_def
1	chedy	491	2.126	78	ch	e	dy	ch:cool.do.end	1	e	y	False	0.0	0.012	0.073	B		
2	ol	421	1.823	68		ol		arrange.state	0	o	l	False	0.005	0.052	0.095	B		
3	shedy	416	1.801	66	sh	e	dy	sh:cool.do.end	1	e	y	False	0.0	0.017	0.041	B		
4	aiin	351	1.52	70		aiin		yield.iterate.iterate.bind	0	a	n	False	0.0	0.0	0.043	S		
5	daiin	314	1.36	76	da	iin		da:iterate.iterate.bind	0	i	n	True	0.0	0.277	0.076	S		
6	qokeedy	306	1.325	54	qo	kee	dy	qo:heat.cool.cool.do.end	2	k	y	False	0.01	0.105	0.016	B		
7	qokain	275	1.191	43	qo	k	ain	qo:heat.yield.iterate.bind	0	k	n	False	0.0	0.087	0.033	B		
8	qokedy	271	1.173	61	qo	ke	dy	qo:heat.cool.do.end	1	k	y	False	0.0	0.074	0.033	B		
9	qokeey	264	1.143	52	qo	kee	y	qo:heat.cool.cool.end	2	k	y	False	0.008	0.102	0.038	S		
10	or	250	1.082	70		or		arrange.respond	0	o	r	False	0.004	0.044	0.04	H		
11	chey	250	1.082	59	ch	e	y	ch:cool.end	1	e	y	False	0.0	0.02	0.064	S		
12	ar	248	1.074	68		ar		yield.respond	0	a	r	False	0.0	0.008	0.06	S		
13	qokaiin	240	1.039	54	qo	k	aiin	qo:heat.yield.iterate.iterate.bind	0	k	n	False	0.0	0.1	0.046	S		
14	shey	204	0.883	45	sh	e	y	sh:cool.end	1	e	y	False	0.005	0.025	0.044	B		
15	dar	188	0.814	65	da	r		da:respond	0	r	r	True	0.005	0.122	0.08	B		
16	al	186	0.805	49		al		yield.state	0	a	l	False	0.0	0.0	0.151	S		
17	okaiin	168	0.727	58	ok	aiin		ok:yield.iterate.iterate.bind	0	a	n	False	0.006	0.054	0.06	S		
18	qokal	167	0.723	51	qo	k	al	qo:heat.yield.state	0	k	l	False	0.0	0.066	0.06	B		
19	otedy	150	0.649	52	ot	e	dy	ot:cool.do.end	1	e	y	False	0.02	0.033	0.047	S		
20	qol	145	0.628	32	qo	l		qo:state	0	l	l	True	0.0	0.11	0.062	B		
21	qokar	137	0.593	55	qo	k	ar	qo:heat.yield.respond	0	k	r	False	0.0	0.029	0.029	B		
22	okain	135	0.585	45	ok	ain		ok:yield.iterate.bind	0	a	n	False	0.015	0.059	0.067	S		
23	chdy	132	0.572	56	ch	dy		ch:do.end	0	d	y	True	0.0	0.0	0.106	H		
24	dal	130	0.563	53	da	l		da:state	0	l	l	True	0.0	0.038	0.177	B		
25	cheey	128	0.554	47	ch	ee	y	ch:cool.cool.end	2	e	y	False	0.0	0.016	0.047	S		
26	okeey	122	0.528	38	ok	ee	y	ok:cool.cool.end	2	e	y	False	0.0	0.066	0.041	S		
27	chckhy	120	0.52	57	ch	ckh	y	ch:adjust.heat.watch.end	0	c	y	True	0.0	0.008	0.067	B		
28	lchedy	118	0.511	35	lch	e	dy	lch:cool.do.end	1	e	y	False	0.0	0.042	0.144	B		
29	okedy	114	0.494	48	ok	e	dy	ok:cool.do.end	1	e	y	False	0.018	0.018	0.07	B		
30	otar	114	0.494	52	ot	ar		ot:yield.respond	0	a	r	False	0.009	0.009	0.044	S		
31	dain	113	0.489	42	da	in		da:iterate.bind	0	i	n	True	0.027	0.31	0.08	S		
32	qoky	111	0.481	44	qo	k	y	qo:heat.end	0	k	y	False	0.0	0.009	0.207	B		
33	dy	109	0.472	49		dy		do.end	0	d	y	True	0.0	0.0	0.358	B		
34	otaiin	108	0.468	38	ot	aiin		ot:yield.iterate.iterate.bind	0	a	n	False	0.0	0.019	0.056	S		
35	otal	103	0.446	43	ot	al		ot:yield.state	0	a	l	False	0.0	0.01	0.058	S		
36	okar	103	0.446	46	ok	ar		ok:yield.respond	0	a	r	False	0.019	0.039	0.058	S		
37	sheey	101	0.437	42	sh	ee	y	sh:cool.cool.end	2	e	y	False	0.0	0.03	0.02	S		
38	okeedy	100	0.433	46	ok	ee	dy	ok:cool.cool.do.end	2	e	y	False	0.0	0.04	0.08	S		
39	saiin	99	0.429	48	sa	iin		sa:iterate.iterate.bind	0	i	n	True	0.0	0.485	0.061	B		
40	chol	99	0.429	44	ch	ol		ch:arrange.state	0	o	l	False	0.0	0.061	0.03	S		
41	okal	95	0.411	53	ok	al		ok:yield.state	0	a	l	False	0.0	0.011	0.095	S		
42	oteey	93	0.403	36	ot	ee	y	ot:cool.cool.end	2	e	y	False	0.0	0.065	0.032	S		
43	otain	92	0.398	39	ot	ain		ot:yield.iterate.bind	0	a	n	False	0.0	0.0	0.098	S		
44	qotedy	91	0.394	42	qo	te	dy	qo:transfer.cool.do.end	1	t	y	False	0.0	0.022	0.044	B		
45	oteedy	91	0.394	37	ot	ee	dy	ot:cool.cool.do.end	2	e	y	False	0.0	0.033	0.044	S		
46	cheol	90	0.39	41	ch	e	ol	ch:cool.arrange.state	1	e	l	False	0.0	0.067	0.022	S		
47	qokey	88	0.381	35	qo	ke	y	qo:heat.cool.end	1	k	y	False	0.0	0.068	0.08	B		
48	sheedy	82	0.355	42	sh	ee	dy	sh:cool.cool.do.end	2	e	y	False	0.0	0.037	0.0	B		
49	ain	79	0.342	39		ain		yield.iterate.bind	0	a	n	False	0.0	0.0	0.101	S		
50	qoteedy	73	0.316	37	qo	tee	dy	qo:transfer.cool.cool.do.end	2	t	y	False	0.0	0.137	0.041	B		
51	sheol	69	0.299	37	sh	e	ol	sh:cool.arrange.state	1	e	l	False	0.0	0.058	0.029	B		
52	y	66	0.286	42		y		end	0	y	y	True	0.061	0.409	0.212	S		
53	qotaiin	66	0.286	31	qo	t	aiin	qo:transfer.yield.iterate.iterate.bind	0	t	n	False	0.0	0.061	0.076	S		
54	raiin	64	0.277	29		r	aiin	respond.yield.iterate.iterate.bind	0	r	n	True	0.0	0.0	0.078	S		
55	qotain	62	0.268	30	qo	t	ain	qo:transfer.yield.iterate.bind	0	t	n	False	0.0	0.032	0.065	S		
56	qotar	61	0.264	35	qo	t	ar	qo:transfer.yield.respond	0	t	r	False	0.0	0.033	0.082	S		
57	sain	61	0.264	33	sa	in		sa:iterate.bind	0	i	n	True	0.016	0.557	0.082	B		
58	oty	60	0.26	36	ot	y		ot:end	0	y	y	True	0.0	0.0	0.183	S		
59	shol	59	0.255	34	sh	ol		sh:arrange.state	0	o	l	False	0.0	0.102	0.034	S		
60	qoty	57	0.247	32	qo	t	y	qo:transfer.end	0	t	y	False	0.0	0.018	0.193	B		
61	qokol	57	0.247	32	qo	k	ol	qo:heat.arrange.state	0	k	l	False	0.0	0.053	0.018	B		
62	chcthy	56	0.242	32	ch	cth	y	ch:adjust.transfer.watch.end	0	c	y	True	0.0	0.0	0.071	B		
63	am	55	0.238	30		am		yield.final	0	a	m	False	0.0	0.0	0.836	S		
64	qokchdy	54	0.234	35	qo	kch	dy	qo:heat.adjust.watch.do.end	0	k	y	False	0.0	0.056	0.019	H		
65	cheedy	54	0.234	27	ch	ee	dy	ch:cool.cool.do.end	2	e	y	False	0.0	0.0	0.037	B		
66	shckhy	54	0.234	24	sh	ckh	y	sh:adjust.heat.watch.end	0	c	y	True	0.0	0.0	0.0	B		
67	s	53	0.229	36		s		sequence	0	s	s	True	0.038	0.113	0.189	H		
68	keedy	53	0.229	32	ke	e	dy	ke:cool.do.end	1	e	y	False	0.0	0.0	0.075	S		
69	qotal	53	0.229	31	qo	t	al	qo:transfer.yield.state	0	t	l	False	0.0	0.019	0.075	B		
70	cheody	51	0.221	29	ch	eo	dy	ch:cool.arrange.do.end	1	e	y	False	0.0	0.02	0.137	S		
71	dol	51	0.221	32	do	l		do:state	0	l	l	True	0.0	0.137	0.02	B		
72	opchedy	50	0.216	34		opche	dy	arrange.pause.adjust.watch.cool.do.end	1	o	y	False	0.0	0.0	0.04	S		
73	sar	49	0.212	30	sa	r		sa:respond	0	r	r	True	0.02	0.449	0.102	S		
74	dair	49	0.212	30	da	i	r	da:iterate.respond	0	i	r	True	0.0	0.388	0.02	S		
75	oky	49	0.212	35	ok	y		ok:end	0	y	y	True	0.0	0.0	0.286	H		
76	lkaiin	49	0.212	21	lk	aiin		lk:yield.iterate.iterate.bind	0	a	n	False	0.0	0.041	0.061	S		
77	air	48	0.208	31		ai	r	yield.iterate.respond	0	a	r	False	0.021	0.021	0.042	S		
78	sol	48	0.208	24	so	l		so:state	0	l	l	True	0.0	0.583	0.021	B		
79	chody	47	0.203	33	ch	o	dy	ch:arrange.do.end	0	o	y	False	0.0	0.0	0.021	S		
80	kaiin	47	0.203	28	ka	iin		ka:iterate.iterate.bind	0	i	n	True	0.021	0.021	0.0	S		
81	kar	46	0.199	34	ka	r		ka:respond	0	r	r	True	0.0	0.022	0.043	H		
82	oly	46	0.199	24	ol	y		ol:end	0	y	y	True	0.0	0.0	0.739	B		
83	kain	46	0.199	28	ka	in		ka:iterate.bind	0	i	n	True	0.0	0.0	0.065	S		
84	cheky	45	0.195	33	ch	ek	y	ch:cool.heat.end	1	e	y	False	0.0	0.0	0.089	H		
85	checkhy	45	0.195	32	ch	eckh	y	ch:cool.adjust.heat.watch.end	1	e	y	False	0.0	0.0	0.022	B		
86	lchey	44	0.191	30	lch	e	y	lch:cool.end	1	e	y	False	0.0	0.068	0.136	B		
87	kedy	44	0.191	26	ke	dy		ke:do.end	0	d	y	True	0.0	0.0	0.045	B		
88	tedy	43	0.186	31	te	dy		te:do.end	0	d	y	True	0.023	0.07	0.047	B		
89	shdy	42	0.182	29	sh	dy		sh:do.end	0	d	y	True	0.0	0.071	0.071	H		
90	dam	42	0.182	31	da	m		da:final	0	m	m	True	0.0	0.0	0.69	H		
91	lshedy	42	0.182	24	lsh	e	dy	lsh:cool.do.end	1	e	y	False	0.0	0.048	0.071	B		
92	lkeedy	41	0.178	21	lk	ee	dy	lk:cool.cool.do.end	2	e	y	False	0.0	0.0	0.098	S		
93	olkeedy	41	0.178	26	ol	kee	dy	ol:heat.cool.cool.do.end	2	k	y	False	0.0	0.073	0.073	S		
94	lkeey	40	0.173	19	lk	ee	y	lk:cool.cool.end	2	e	y	False	0.0	0.025	0.05	S		
95	r	39	0.169	25		r		respond	0	r	r	True	0.077	0.077	0.154	B		
96	lor	39	0.169	27		l	or	state.arrange.respond	0	l	r	True	0.0	0.051	0.154	S		
97	tar	38	0.165	30	ta	r		ta:respond	0	r	r	True	0.132	0.342	0.079	S		
98	qokchedy	38	0.165	20	qo	kche	dy	qo:heat.adjust.watch.cool.do.end	1	k	y	False	0.0	0.079	0.053	S		
99	lol	38	0.165	24		l	ol	state.arrange.state	0	l	l	True	0.0	0.158	0.395	B		
100	olkeey	38	0.165	24	ol	kee	y	ol:heat.cool.cool.end	2	k	y	False	0.0	0.158	0.0	B		
101	olchedy	37	0.16	23	ol	e	dy	ol:adjust.watch.cool.do.end	1	c	y	True	0.0	0.027	0.216	B		
102	otam	37	0.16	28	ot	am		ot:yield.final	0	a	m	False	0.0	0.0	0.676	S		
103	aiiin	37	0.16	22		ai	iin	yield.iterate.iterate.iterate.bind	0	a	n	False	0.0	0.0	0.027	S		
104	chy	36	0.156	30	ch	y		ch:end	0	y	y	True	0.0	0.0	0.167	H		
105	otey	36	0.156	24	ot	e	y	ot:cool.end	1	e	y	False	0.0	0.0	0.028	B		
106	char	36	0.156	24	ch	ar		ch:yield.respond	0	a	r	False	0.0	0.056	0.028	S		
107	dshedy	36	0.156	25	sh	e	dy	[d]sh:cool.do.end	1	e	y	False	0.028	0.861	0.083	B		
108	sheckhy	35	0.152	18	sh	eckh	y	sh:cool.adjust.heat.watch.end	1	e	y	False	0.0	0.0	0.029	B		
109	lkain	35	0.152	15	lk	ain		lk:yield.iterate.bind	0	a	n	False	0.0	0.0	0.143	S		
110	shy	34	0.147	23	sh	y		sh:end	0	y	y	True	0.0	0.029	0.088	B		
111	pchedy	34	0.147	28	pch	e	dy	pch:cool.do.end	1	e	y	False	0.176	0.353	0.029	B		
112	okey	34	0.147	20	ok	e	y	ok:cool.end	1	e	y	False	0.0	0.029	0.059	S		
113	otchedy	34	0.147	21	ot	e	dy	ot:adjust.watch.cool.do.end	1	c	y	True	0.0	0.059	0.059	S		
114	olaiin	34	0.147	26	ol	aiin		ol:yield.iterate.iterate.bind	0	a	n	False	0.0	0.059	0.059	S		
115	l	34	0.147	20		l		state	0	l	l	True	0.088	0.118	0.118	S		
116	cheo	33	0.143	19	ch	eo		ch:cool.arrange	1	e	o	False	0.0	0.03	0.0	S		
117	olkain	33	0.143	16	ol	k	ain	ol:heat.yield.iterate.bind	0	k	n	False	0.0	0.03	0.091	B		
118	cheor	32	0.139	23	ch	e	or	ch:cool.arrange.respond	1	e	r	False	0.0	0.094	0.031	B		
119	chor	32	0.139	23	ch	or		ch:arrange.respond	0	o	r	False	0.0	0.031	0.0	S		
120	tchedy	32	0.139	25	tch	e	dy	tch:cool.do.end	1	e	y	False	0.281	0.688	0.0	B		
121	sor	32	0.139	23	so	r		so:respond	0	r	r	True	0.0	0.812	0.0	B		
122	otol	32	0.139	24	ot	ol		ot:arrange.state	0	o	l	False	0.031	0.031	0.062	S		
123	qopchedy	32	0.139	21	qo	pche	dy	qo:pause.adjust.watch.cool.do.end	1	p	y	True	0.0	0.031	0.062	S		
124	ykaiin	31	0.134	18	yk	aiin		yk:yield.iterate.iterate.bind	0	a	n	False	0.0	0.29	0.097	C		
125	olkaiin	31	0.134	25	ol	k	aiin	ol:heat.yield.iterate.iterate.bind	0	k	n	False	0.0	0.065	0.032	S		
126	qoteey	31	0.134	22	qo	tee	y	qo:transfer.cool.cool.end	2	t	y	False	0.0	0.065	0.0	S		
127	sheody	30	0.13	22	sh	eo	dy	sh:cool.arrange.do.end	1	e	y	False	0.0	0.033	0.067	S		
128	sal	30	0.13	21	sa	l		sa:state	0	l	l	True	0.033	0.267	0.1	B		
129	ytaiin	30	0.13	13	ta	iin		[y]ta:iterate.iterate.bind	0	i	n	True	0.0	0.167	0.067	C		
130	odaiin	30	0.13	22		od	aiin	arrange.do.yield.iterate.iterate.bind	0	o	n	False	0.0	0.1	0.033	S		
131	lkar	30	0.13	19	lk	ar		lk:yield.respond	0	a	r	False	0.0	0.0	0.067	S		
132	qokchy	29	0.126	24	qo	kch	y	qo:heat.adjust.watch.end	0	k	y	False	0.0	0.034	0.103	S		
133	o	29	0.126	19		o		arrange	0	o	o	False	0.207	0.31	0.207	S		
134	lkedy	29	0.126	18	lk	e	dy	lk:cool.do.end	1	e	y	False	0.0	0.034	0.069	S		
135	shody	29	0.126	19	sh	o	dy	sh:arrange.do.end	0	o	y	False	0.0	0.138	0.103	S		
136	ykeedy	28	0.121	25	yk	ee	dy	yk:cool.cool.do.end	2	e	y	False	0.0	0.143	0.036	B		
137	oraiin	28	0.121	21	or	aiin		or:yield.iterate.iterate.bind	0	a	n	False	0.0	0.107	0.179	S		
138	ykeey	28	0.121	21	yk	ee	y	yk:cool.cool.end	2	e	y	False	0.0	0.179	0.036	S		
139	chedar	28	0.121	19	ch	ed	ar	ch:cool.do.yield.respond	1	e	r	False	0.0	0.0	0.0	S		
140	sheky	28	0.121	19	sh	ek	y	sh:cool.heat.end	1	e	y	False	0.0	0.0	0.036	B		
141	chal	28	0.121	14	ch	al		ch:yield.state	0	a	l	False	0.0	0.0	0.071	S		
142	checthy	27	0.117	17	ch	ecth	y	ch:cool.adjust.transfer.watch.end	1	e	y	False	0.0	0.0	0.111	B		
143	chedaiin	27	0.117	18	ch	ed	aiin	ch:cool.do.yield.iterate.iterate.bind	1	e	n	False	0.0	0.037	0.074	S		
144	ches	27	0.117	21	ch	e	s	ch:cool.sequence	1	e	s	False	0.0	0.0	0.037	S		
145	ody	27	0.117	20		o	dy	arrange.do.end	0	o	y	False	0.0	0.037	0.259	H		
146	taiin	27	0.117	20	ta	iin		ta:iterate.iterate.bind	0	i	n	True	0.074	0.333	0.0	S		
147	olkedy	27	0.117	19	ol	ke	dy	ol:heat.cool.do.end	1	k	y	False	0.0	0.0	0.185	B		
148	qodaiin	27	0.117	16	qo	d	aiin	qo:do.yield.iterate.iterate.bind	0	d	n	True	0.0	0.074	0.037	S		
149	shcthy	26	0.113	13	sh	cth	y	sh:adjust.transfer.watch.end	0	c	y	True	0.0	0.0	0.0	B		
150	ykar	26	0.113	18	yk	ar		yk:yield.respond	0	a	r	False	0.0	0.154	0.0	H		
151	otchdy	26	0.113	21	ot	dy		ot:adjust.watch.do.end	0	c	y	True	0.077	0.077	0.154	H		
152	olor	26	0.113	16	ol	or		ol:arrange.respond	0	o	r	False	0.0	0.038	0.269	B		
153	yteedy	26	0.113	21	te	e	dy	[y]te:cool.do.end	1	e	y	False	0.0	0.346	0.038	S		
154	dchedy	26	0.113	23	dch	e	dy	dch:cool.do.end	1	e	y	False	0.0	0.615	0.038	S		
155	shor	26	0.113	18	sh	or		sh:arrange.respond	0	o	r	False	0.0	0.269	0.0	S		
156	chckhey	26	0.113	22	ch	ckhe	y	ch:adjust.heat.watch.cool.end	1	c	y	True	0.0	0.0	0.077	S		
157	chear	26	0.113	14	ch	e	ar	ch:cool.yield.respond	1	e	r	False	0.0	0.0	0.038	S		
158	orain	25	0.108	18	or	ain		or:yield.iterate.bind	0	a	n	False	0.04	0.2	0.28	S		
159	rain	25	0.108	16		r	ain	respond.yield.iterate.bind	0	r	n	True	0.0	0.04	0.16	S		
160	ytedy	24	0.104	16	te	dy		[y]te:do.end	0	d	y	True	0.0	0.083	0.042	H		
161	qotol	24	0.104	18	qo	t	ol	qo:transfer.arrange.state	0	t	l	False	0.0	0.042	0.0	B		
162	olchey	24	0.104	19	ol	e	y	ol:adjust.watch.cool.end	1	c	y	True	0.0	0.083	0.083	B		
163	qokchey	24	0.104	15	qo	kche	y	qo:heat.adjust.watch.cool.end	1	k	y	False	0.0	0.125	0.0	S		
164	sheor	24	0.104	20	sh	e	or	sh:cool.arrange.respond	1	e	r	False	0.0	0.083	0.0	B		
165	qotchedy	24	0.104	13	qo	tche	dy	qo:transfer.adjust.watch.cool.do.end	1	t	y	False	0.0	0.042	0.042	S		
166	tol	23	0.1	18	to	l		to:state	0	l	l	True	0.217	0.652	0.0	B		
167	otor	23	0.1	19	ot	or		ot:arrange.respond	0	o	r	False	0.0	0.043	0.043	S		
168	olshedy	23	0.1	16	ol	e	dy	ol:sequence.watch.cool.do.end	1	s	y	True	0.0	0.087	0.174	B		
169	qotchdy	23	0.1	19	qo	tch	dy	qo:transfer.adjust.watch.do.end	0	t	y	False	0.0	0.0	0.087	S		
170	qokeeey	23	0.1	15	qo	keee	y	qo:heat.cool.cool.cool.end	3	k	y	False	0.0	0.174	0.0	S		
171	sheo	22	0.095	19	sh	eo		sh:cool.arrange	1	e	o	False	0.0	0.0	0.0	S		
172	ldy	22	0.095	18		l	dy	state.do.end	0	l	y	True	0.0	0.0	0.773	B		
173	ykedy	22	0.095	19	yk	e	dy	yk:cool.do.end	1	e	y	False	0.0	0.045	0.045	H		
174	yteey	22	0.095	14	te	e	y	[y]te:cool.end	1	e	y	False	0.0	0.136	0.0	C		
175	dor	22	0.095	18	do	r		do:respond	0	r	r	True	0.0	0.364	0.091	B		
176	qokam	22	0.095	17	qo	k	am	qo:heat.yield.final	0	k	m	False	0.0	0.0	0.864	S		
177	kchedy	22	0.095	17	kch	e	dy	kch:cool.do.end	1	e	y	False	0.0	0.091	0.0	S		
178	shar	22	0.095	18	sh	ar		sh:yield.respond	0	a	r	False	0.0	0.045	0.0	S		
179	cheal	22	0.095	9	ch	e	al	ch:cool.yield.state	1	e	l	False	0.0	0.0	0.045	S		
180	pol	22	0.095	14	po	l		po:state	0	l	l	True	0.636	0.864	0.0	B		
181	keey	21	0.091	17	ke	e	y	ke:cool.end	1	e	y	False	0.0	0.0	0.0	S		
182	chedal	21	0.091	15	ch	ed	al	ch:cool.do.yield.state	1	e	l	False	0.0	0.048	0.048	S		
183	olky	21	0.091	14	ol	k	y	ol:heat.end	0	k	y	False	0.048	0.048	0.286	B		
184	okol	21	0.091	20	ok	ol		ok:arrange.state	0	o	l	False	0.0	0.0	0.048	S		
185	ched	21	0.091	17	ch	ed		ch:cool.do	1	e	d	False	0.0	0.0	0.048	S		
186	opchey	21	0.091	17		opche	y	arrange.pause.adjust.watch.cool.end	1	o	y	False	0.0	0.0	0.048	S		
187	okchedy	21	0.091	15	ok	e	dy	ok:adjust.watch.cool.do.end	1	c	y	True	0.0	0.048	0.095	S		
188	sair	20	0.087	16	sa	i	r	sa:iterate.respond	0	i	r	True	0.0	0.4	0.0	S		
189	okchdy	20	0.087	16	ok	dy		ok:adjust.watch.do.end	0	c	y	True	0.15	0.15	0.25	B		
190	oteol	20	0.087	18	ot	e	ol	ot:cool.arrange.state	1	e	l	False	0.05	0.1	0.05	S		
191	qokor	20	0.087	16	qo	k	or	qo:heat.arrange.respond	0	k	r	False	0.0	0.0	0.05	S		
192	kal	20	0.087	15	ka	l		ka:state	0	l	l	True	0.05	0.05	0.1	S		
193	chl	20	0.087	15	ch	l		ch:state	0	l	l	True	0.0	0.0	0.05	S		
194	qotey	20	0.087	16	qo	te	y	qo:transfer.cool.end	1	t	y	False	0.0	0.1	0.0	S		
195	qoeedy	20	0.087	14	qo	ee	dy	qo:cool.cool.do.end	2	e	y	False	0.05	0.15	0.0	S		
196	chees	19	0.082	16	ch	ee	s	ch:cool.cool.sequence	2	e	s	False	0.0	0.0	0.0	S		
197	okam	19	0.082	17	ok	am		ok:yield.final	0	a	m	False	0.0	0.0	0.737	H		
198	chdal	19	0.082	15	ch	d	al	ch:do.yield.state	0	d	l	True	0.0	0.0	0.0	S		
199	kchdy	19	0.082	15	kch	dy		kch:do.end	0	d	y	True	0.0	0.053	0.053	H		
200	ytar	19	0.082	15	ta	r		[y]ta:respond	0	r	r	True	0.0	0.263	0.053	S		
201	opchdy	19	0.082	15		opch	dy	arrange.pause.adjust.watch.do.end	0	o	y	False	0.0	0.0	0.211	S		
202	shecthy	19	0.082	11	sh	ecth	y	sh:cool.adjust.transfer.watch.end	1	e	y	False	0.0	0.0	0.053	B		
203	rol	19	0.082	14		r	ol	respond.arrange.state	0	r	l	True	0.0	0.0	0.263	B		
204	cheeky	18	0.078	17	ch	eek	y	ch:cool.cool.heat.end	2	e	y	False	0.0	0.056	0.0	B		
205	okeol	18	0.078	13	ok	e	ol	ok:cool.arrange.state	1	e	l	False	0.0	0.0	0.111	S		
206	okchey	18	0.078	16	ok	e	y	ok:adjust.watch.cool.end	1	c	y	True	0.0	0.111	0.111	S		
207	okeeey	18	0.078	12	ok	eee	y	ok:cool.cool.cool.end	3	e	y	False	0.0	0.0	0.111	S		
208	oldy	18	0.078	14	ol	dy		ol:do.end	0	d	y	True	0.0	0.0	0.667	B		
209	chdar	18	0.078	14	ch	d	ar	ch:do.yield.respond	0	d	r	True	0.0	0.0	0.056	S		
210	shed	18	0.078	16	sh	ed		sh:cool.do	1	e	d	False	0.0	0.056	0.056	S		
211	ycheey	18	0.078	14	ch	ee	y	[y]ch:cool.cool.end	2	e	y	False	0.0	0.833	0.056	S		
212	olkar	18	0.078	12	ol	k	ar	ol:heat.yield.respond	0	k	r	False	0.0	0.0	0.0	C		
213	lshey	18	0.078	13	lsh	e	y	lsh:cool.end	1	e	y	False	0.0	0.167	0.0	S		
214	odar	17	0.074	14		od	ar	arrange.do.yield.respond	0	o	r	False	0.0	0.118	0.059	S		
215	daly	17	0.074	13	da	ly		da:state.end	0	l	y	True	0.0	0.0	0.529	B		
216	chedain	17	0.074	11	ch	ed	ain	ch:cool.do.yield.iterate.bind	1	e	n	False	0.0	0.0	0.059	S		
217	aly	17	0.074	16	al	y		al:end	0	y	y	True	0.0	0.0	0.529	S		
218	okair	17	0.074	14	ok	ai	r	ok:yield.iterate.respond	0	a	r	False	0.0	0.059	0.0	S		
219	lchdy	17	0.074	13	lch	dy		lch:do.end	0	d	y	True	0.0	0.0	0.294	S		
220	qokeeo	17	0.074	12	qo	keeo		qo:heat.cool.cool.arrange	2	k	o	False	0.0	0.118	0.0	S		
221	oiin	17	0.074	12		oiin		arrange.iterate.iterate.bind	0	o	n	False	0.0	0.059	0.0	S		
222	qo	17	0.074	9		qo		?.arrange	0	q	o	True	0.0	0.059	0.0	B		
223	lky	17	0.074	12	lk	y		lk:end	0	y	y	True	0.0	0.0	0.235	S		
224	otchey	17	0.074	14	ot	e	y	ot:adjust.watch.cool.end	1	c	y	True	0.0	0.059	0.0	S		
225	otair	17	0.074	11	ot	ai	r	ot:yield.iterate.respond	0	a	r	False	0.0	0.059	0.0	S		
226	cheos	16	0.069	13	ch	eo	s	ch:cool.arrange.sequence	1	e	s	False	0.0	0.0	0.062	S		
227	ary	16	0.069	13	ar	y		ar:end	0	y	y	True	0.0	0.0	1.0	S		
228	aiir	16	0.069	13		aii	r	yield.iterate.iterate.respond	0	a	r	False	0.0	0.0	0.0	S		
229	chdaiin	16	0.069	11	ch	d	aiin	ch:do.yield.iterate.iterate.bind	0	d	n	True	0.0	0.0	0.0	S		
230	qokeol	16	0.069	13	qo	ke	ol	qo:heat.cool.arrange.state	1	k	l	False	0.0	0.062	0.0	S		
231	cheeo	16	0.069	15	ch	eeo		ch:cool.cool.arrange	2	e	o	False	0.0	0.25	0.0	S		
232	ral	16	0.069	15		r	al	respond.yield.state	0	r	l	True	0.0	0.062	0.312	B		
233	rar	16	0.069	13		r	ar	respond.yield.respond	0	r	r	True	0.0	0.0	0.125	S		
234	lkchedy	16	0.069	9	lk	e	dy	lk:adjust.watch.cool.do.end	1	c	y	True	0.0	0.0	0.062	S		
235	keody	15	0.065	13	ke	o	dy	ke:arrange.do.end	0	o	y	False	0.0	0.0	0.0	H		
236	qokeody	15	0.065	10	qo	keo	dy	qo:heat.cool.arrange.do.end	1	k	y	False	0.0	0.133	0.0	H		
237	okeody	15	0.065	13	ok	eo	dy	ok:cool.arrange.do.end	1	e	y	False	0.0	0.0	0.067	H		
238	tchdy	15	0.065	13	tch	dy		tch:do.end	0	d	y	True	0.0	0.267	0.0	H		
239	qopchdy	15	0.065	14	qo	pch	dy	qo:pause.adjust.watch.do.end	0	p	y	True	0.0	0.0	0.0	S		
240	chodaiin	15	0.065	11	ch	od	aiin	ch:arrange.do.yield.iterate.iterate.bind	0	o	n	False	0.0	0.133	0.067	S		
241	chety	15	0.065	15	ch	et	y	ch:cool.transfer.end	1	e	y	False	0.0	0.0	0.0	H		
242	shear	15	0.065	10	sh	e	ar	sh:cool.yield.respond	1	e	r	False	0.0	0.0	0.0	S		
243	sho	15	0.065	12	sh	o		sh:arrange	0	o	o	False	0.0	0.133	0.0	S		
244	dl	15	0.065	12		d	l	do.state	0	d	l	True	0.0	0.067	0.467	S		
245	ror	15	0.065	13		r	or	respond.arrange.respond	0	r	r	True	0.0	0.0	0.267	S		
246	tain	15	0.065	11	ta	in		ta:iterate.bind	0	i	n	True	0.0	0.2	0.067	S		
247	qokeed	14	0.061	13	qo	keed		qo:heat.cool.cool.do	2	k	d	False	0.071	0.214	0.0	S		
248	oteody	14	0.061	13	ot	eo	dy	ot:cool.arrange.do.end	1	e	y	False	0.0	0.071	0.071	S		
249	chky	14	0.061	12	ch	k	y	ch:heat.end	0	k	y	False	0.0	0.0	0.071	H		
250	odain	14	0.061	11		od	ain	arrange.do.yield.iterate.bind	0	o	n	False	0.0	0.0	0.357	S		
251	shedaiin	14	0.061	10	sh	ed	aiin	sh:cool.do.yield.iterate.iterate.bind	1	e	n	False	0.0	0.0	0.0	C		
252	lo	14	0.061	12		lo		state.arrange	0	l	o	True	0.0	0.0	0.643	S		
